Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1992","1992","hg/ha","74126","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1993","1993","hg/ha","72549","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1994","1994","hg/ha","73579","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1995","1995","hg/ha","72816","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1996","1996","hg/ha","73931","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1997","1997","hg/ha","74220","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1998","1998","hg/ha","74460","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","1999","1999","hg/ha","74583","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2000","2000","hg/ha","74453","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2001","2001","hg/ha","73077","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2002","2002","hg/ha","72956","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2003","2003","hg/ha","71774","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2004","2004","hg/ha","70846","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2005","2005","hg/ha","68701","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2006","2006","hg/ha","62267","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2007","2007","hg/ha","72500","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2008","2008","hg/ha","74449","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2009","2009","hg/ha","73439","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2010","2010","hg/ha","80000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2011","2011","hg/ha","81725","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2012","2012","hg/ha","100000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2013","2013","hg/ha","99944","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2014","2014","hg/ha","99944","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2015","2015","hg/ha","96189","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2016","2016","hg/ha","20819","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2017","2017","hg/ha","72960","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2018","2018","hg/ha","58934","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2019","2019","hg/ha","73008","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","526","Apricots","2020","2020","hg/ha","75389","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1961","1961","hg/ha","10800","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1962","1962","hg/ha","10800","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1963","1963","hg/ha","10800","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1964","1964","hg/ha","10857","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1965","1965","hg/ha","10857","Fc","Calculated data"
