,STATE,YEAR,AREA,PRODUCTION,YIELD
266,MIZORAM,2009,5526.5,7655.9,1.383
268,NAGALAND,2000,17910.0,28232.0,1.579
269,NAGALAND,2001,17028.333333333332,26459.166666666668,1.5608333333333333
270,NAGALAND,2002,18750.0,27925.0,1.46375
271,NAGALAND,2003,17061.81818181818,28370.0,1.66
272,NAGALAND,2004,15878.57142857143,27488.571428571428,1.752857142857143
273,NAGALAND,2005,17264.166666666668,29226.666666666668,1.7158333333333333
274,NAGALAND,2006,18070.833333333332,28722.5,1.5883333333333336
275,NAGALAND,2007,18065.833333333332,34410.833333333336,1.8283333333333334
276,NAGALAND,2008,18256.25,36307.5,1.9525000000000001
277,NAGALAND,2009,17698.75,25491.25,1.4175
278,NAGALAND,2010,17550.833333333332,37621.666666666664,2.1316666666666664
279,NAGALAND,2011,21117.14285714286,45917.142857142855,2.174285714285714
280,NAGALAND,2012,21421.428571428572,48828.57142857143,2.292857142857143
281,NAGALAND,2013,21914.285714285714,51241.42857142857,2.3614285714285717
282,ORISSA,2004,149733.33333333334,217900.0,1.4400000000000002
283,ORISSA,2005,123558.62068965517,189200.0,1.5533103448275862
284,ORISSA,2006,78778.7610619469,120761.06194690266,1.5299115044247786
285,ORISSA,2007,76758.62068965517,130000.0,1.6539655172413792
286,ORISSA,2008,78157.8947368421,119508.77192982456,1.5309649122807019
287,ORISSA,2009,80824.07407407407,128018.51851851853,1.5587962962962962
288,ORISSA,2010,75455.35714285714,121857.14285714286,1.5582142857142858
289,ORISSA,2011,73833.33333333333,107175.92592592593,1.4617592592592592
290,ORISSA,2012,206889.90825688074,170889.90825688074,1.2634862385321102
291,ORISSA,2013,76678.89908256881,139541.28440366974,1.89348623853211
294,PONDICHERRY,2000,8668.5,21183.0,2.805
295,PONDICHERRY,2001,3106.0,6565.333333333333,2.2933333333333334
296,PONDICHERRY,2002,3605.5,4766.0,2.4250000000000003
297,PONDICHERRY,2003,3265.5,7563.5,3.09
298,PONDICHERRY,2004,2499.6666666666665,4037.3333333333335,2.705
299,PONDICHERRY,2005,2047.4285714285713,3743.4285714285716,2.505714285714286
300,PONDICHERRY,2006,2897.0,7369.4,2.956
301,PONDICHERRY,2007,1995.7142857142858,4670.285714285715,2.8814285714285717
302,PONDICHERRY,2008,2001.142857142857,3809.714285714286,2.7414285714285715
303,PONDICHERRY,2009,1950.857142857143,4192.285714285715,2.7257142857142855
304,PONDICHERRY,2010,1916.0,4842.857142857143,3.142857142857143
305,PONDICHERRY,2011,1882.2857142857142,4827.714285714285,2.967142857142857
308,PUNJAB,2000,153588.23529411765,538470.5882352941,3.501764705882353
309,PUNJAB,2001,146294.11764705883,518588.23529411765,3.517058823529412
310,PUNJAB,2002,148823.5294117647,522352.9411764706,3.438823529411765
311,PUNJAB,2003,153764.70588235295,568000.0,3.678235294117647
312,PUNJAB,2004,164705.88235294117,613941.1764705882,3.7888235294117645
313,PUNJAB,2005,155411.76470588235,599588.2352941176,3.820588235294118
314,PUNJAB,2006,142294.11764705883,561294.1176470588,3.85
315,PUNJAB,2007,135941.17647058822,551823.5294117647,3.9970588235294118
316,PUNJAB,2008,143352.9411764706,582470.5882352941,4.034705882352942
317,PUNJAB,2009,146823.5294117647,594823.5294117647,4.025294117647059
318,PUNJAB,2010,148058.82352941178,573235.2941176471,3.8770588235294117
319,PUNJAB,2012,148823.5294117647,598352.9411764706,4.002941176470588
322,RAJASTHAN,2000,4312.222222222223,5784.3,0.9695
323,RAJASTHAN,2001,4541.941176470588,7160.0526315789475,1.3321052631578947
324,RAJASTHAN,2002,2773.5882352941176,2941.3684210526317,0.8521052631578948
325,RAJASTHAN,2003,3945.4375,6977.222222222223,1.6977777777777776
326,RAJASTHAN,2004,3515.222222222222,5906.65,1.5859999999999999
327,RAJASTHAN,2005,3849.470588235294,6253.421052631579,1.66
328,RAJASTHAN,2006,4060.8125,7492.166666666667,1.828888888888889
329,RAJASTHAN,2007,4678.0,9634.388888888889,2.126666666666667
330,RAJASTHAN,2008,4734.0,10033.666666666666,1.8966666666666667
331,RAJASTHAN,2009,4989.176470588235,10177.388888888889,1.6394444444444445
332,RAJASTHAN,2010,4693.588235294118,11237.944444444445,2.0999999999999996
335,SIKKIM,2000,3804.5,5339.5,1.4224999999999999
336,SIKKIM,2001,6100.0,5343.0,1.4275
337,SIKKIM,2002,6350.0,5305.0,1.4325
338,SIKKIM,2003,6300.0,5297.5,1.4275
339,SIKKIM,2004,6300.0,5402.5,1.37
340,SIKKIM,2005,6300.0,7280.0,1.5566666666666666
341,SIKKIM,2006,5500.0,5362.5,1.425
342,SIKKIM,2007,5600.0,4870.0,1.5474999999999999
343,SIKKIM,2008,5350.0,5557.5,1.5925
344,SIKKIM,2009,5000.0,5232.5,1.595
345,SIKKIM,2010,4950.0,5243.25,1.6225
346,SIKKIM,2011,4940.0,5220.0,1.6225
347,SIKKIM,2012,4910.0,5335.0,1.7175
350,TAMIL NADU,2000,74286.07142857143,263086.4285714286,3.7582142857142857
351,TAMIL NADU,2001,73567.07142857143,235129.64285714287,3.532857142857143
352,TAMIL NADU,2002,54162.03571428572,127753.85714285714,2.884642857142857
353,TAMIL NADU,2003,49880.392857142855,115099.14285714286,2.728214285714286
354,TAMIL NADU,2004,64580.06896551724,174538.6896551724,3.0151724137931035
355,TAMIL NADU,2005,70705.3448275862,179635.62068965516,2.89551724137931
356,TAMIL NADU,2006,66599.89655172414,227951.9655172414,3.584827586206897
357,TAMIL NADU,2007,61695.51724137931,173791.5172413793,3.213793103448276
358,TAMIL NADU,2008,69666.55555555556,186820.5185185185,3.3840740740740745
359,TAMIL NADU,2009,62331.620689655174,190848.8620689655,3.5320689655172415
360,TAMIL NADU,2010,64438.55172413793,194744.8620689655,3.5744827586206895
361,TAMIL NADU,2011,63654.92857142857,244752.32142857142,4.181071428571428
362,TAMIL NADU,2012,50879.58620689655,138390.9655172414,3.363448275862069
364,TRIPURA,2000,60767.5,136880.0,2.185
365,TRIPURA,2001,61687.5,146847.5,2.2800000000000002
366,TRIPURA,2002,63817.5,150602.5,2.255
367,TRIPURA,2003,64360.0,154205.0,2.31
368,TRIPURA,2006,62735.5,157050.0,2.4225000000000003
371,UTTAR PRADESH,2000,75489.66371681416,153001.16814159293,1.9757522123893805
372,UTTAR PRADESH,2001,78374.17142857143,168030.01904761905,2.058095238095238
373,UTTAR PRADESH,2002,64042.15315315315,121563.73873873874,1.8355855855855856
374,UTTAR PRADESH,2003,72665.97272727273,159351.32727272727,2.105
375,UTTAR PRADESH,2004,81322.0,152150.4705882353,1.8695588235294116
376,UTTAR PRADESH,2005,77997.38571428572,156335.74285714285,1.9582857142857144
377,UTTAR PRADESH,2006,78982.52,151699.95,1.9028
378,UTTAR PRADESH,2007,75944.35416666667,159835.88541666666,2.0325
379,UTTAR PRADESH,2008,73750.7247706422,158987.20183486238,2.1220183486238535
380,UTTAR PRADESH,2009,62666.045454545456,132214.82727272727,2.0578181818181815
381,UTTAR PRADESH,2010,72423.81904761905,152087.61904761905,2.0494285714285714
382,UTTAR PRADESH,2011,72669.86607142857,172181.4732142857,2.319464285714286
383,UTTAR PRADESH,2012,70061.90990990991,171092.12612612612,2.408468468468468
384,UTTAR PRADESH,2013,68507.33636363636,168397.26363636364,2.42
385,UTTARANCHAL,2000,23600.70588235294,54398.705882352944,1.9523529411764704
386,UTTARANCHAL,2001,20555.761904761905,46517.0,1.842857142857143
387,UTTARANCHAL,2002,22586.0625,52099.0,1.83125
388,UTTARANCHAL,2003,22797.944444444445,49261.11111111111,2.006111111111111
389,UTTARANCHAL,2004,24063.41176470588,51911.470588235294,1.8723529411764708
390,UTTARANCHAL,2005,24911.75,54482.1875,1.845625
391,UTTARANCHAL,2006,23877.29411764706,53865.58823529412,1.9447058823529413
392,UTTARANCHAL,2007,22372.722222222223,51795.61111111111,2.0372222222222223
393,UTTARANCHAL,2008,24087.555555555555,52204.666666666664,1.9161111111111113
394,UTTARANCHAL,2009,24508.529411764706,57198.17647058824,1.9123529411764704
395,UTTARANCHAL,2010,22177.9,45981.15,1.8295000000000001
396,UTTARANCHAL,2011,23719.41176470588,56875.529411764706,2.0176470588235293
397,UTTARANCHAL,2012,23428.117647058825,59126.58823529412,2.0723529411764705
400,WEST BENGAL,2000,141081.71929824562,312457.2105263158,2.1119298245614035
401,WEST BENGAL,2001,158518.5,391513.0,2.3388333333333335
402,WEST BENGAL,2002,160925.6,393033.5333333333,2.3085
403,WEST BENGAL,2003,161203.1,403937.9666666667,2.397
404,WEST BENGAL,2004,157216.93333333332,400115.3333333333,2.3714999999999997
405,WEST BENGAL,2005,155693.83333333334,395355.13333333336,2.3985
406,WEST BENGAL,2006,151689.73333333334,390526.26666666666,2.4125
407,WEST BENGAL,2007,153493.33333333334,395967.06666666665,2.4276666666666666
408,WEST BENGAL,2008,161737.2,408507.6666666667,2.378333333333333
409,WEST BENGAL,2009,150418.4,381207.7,2.3793333333333333
