State,County,Year,Crop,Area planted,Production,Yield,Region1,Region2
Jonglei ,Bor South ,2014,corn,"2,208","1,589",0.719668493,jonglei,bor south
Jonglei ,Canal/Pigi ,2014,corn,"2,157","1,208",0.560057485,jonglei,canalpigi
Jonglei ,Duk ,2014,corn,0,0,1,jonglei,duk
Jonglei ,Fangak ,2014,corn,"2,586","1,448",0.559955145,jonglei,fangak
Jonglei ,Nyirol ,2014,corn,"3,795","2,429",0.640062185,jonglei,nyirol
Jonglei ,Pibor ,2014,corn,"6,050","6,292",1.039999339,jonglei,pibor
Jonglei ,Pochalla ,2014,corn,"5,007","5,207",1.039943281,jonglei,pochalla
Jonglei ,Twic East ,2014,corn,"1,389",667,480.1670866,jonglei,twic east
Jonglei ,Uror ,2014,corn,"3,188","1,530",0.479941031,jonglei,uror
Jonglei ,Akobo ,2015,corn,"6,834","5,467",0.799973661,jonglei,akobo
Jonglei ,Ayod ,2015,corn,966,541,0.560041453,jonglei,ayod
Jonglei ,Bor South ,2015,corn,"4,263","2,729",0.640167953,jonglei,bor south
Jonglei ,Canal/Pigi ,2015,corn,"2,222","1,120",0.504072724,jonglei,canalpigi
Jonglei ,Duk ,2015,corn,0,0,1,jonglei,duk
Jonglei ,Fangak ,2015,corn,0,0,1,jonglei,fangak
Jonglei ,Nyirol ,2015,corn,"3,909","2,502",0.640070604,jonglei,nyirol
Jonglei ,Pibor ,2015,corn,"8,226","7,239",0.880016046,jonglei,pibor
Jonglei ,Pochalla ,2015,corn,"5,894","4,715",0.799969461,jonglei,pochalla
Jonglei ,Twic East ,2015,corn,"6,523","2,609",0.399978538,jonglei,twic east
Jonglei ,Uror ,2015,corn,"7,662","4,904",0.640046462,jonglei,uror
Jonglei ,Akobo ,2016,corn,"5,247","4,198",0.800080044,jonglei,akobo
Jonglei ,Ayod ,2016,corn,"1,029",576,559.7124672,jonglei,ayod
Jonglei ,Bor South ,2016,corn,"6,534","4,182",0.64004224,jonglei,bor south
Jonglei ,Canal/Pigi ,2016,corn,"1,506",759,503.9506673,jonglei,canalpigi
Jonglei ,Duk ,2016,corn,"2,444","1,369",0.560165296,jonglei,duk
Jonglei ,Fangak ,2016,corn,"1,321",740,560.1393536,jonglei,fangak
Jonglei ,Nyirol ,2016,corn,"3,688","2,360",0.639922996,jonglei,nyirol
Jonglei ,Pibor ,2016,corn,"7,849","5,652",0.720095298,jonglei,pibor
Jonglei ,Pochalla ,2016,corn,"6,625","5,300",0.800003019,jonglei,pochalla
Jonglei ,Twic East ,2016,corn,"6,835","3,828",0.560064959,jonglei,twic east
Jonglei ,Uror ,2016,corn,"10,548","5,485",0.520008343,jonglei,uror
Jonglei ,Akobo ,2017,corn,"5,615","4,492",0.800003562,jonglei,akobo
